source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Key Republican wants Ga. as early primary state — in 2028,"Georgia Secretary of State Brad Raffensperger wants his state to become an early presidential primary host — just not in 2024, as President Joe Biden and the Democratic Party are pushing",BILL BARROW Associated Press,2023-02-06 05:24:21+00:00,https://abcnews.go.com/Politics/wireStory/key-republican-ga-early-primary-state-2028-96913984,0.0,0.0,1.0,0.0,0.0
Fox News,Lt. governor blasts media coverage of Georgia's election law after poll says 99% midterm voters had no issues,"In an interview with Fox News Digital, Burt Jones slammed the media's coverage of Georgia's election law after a new poll showed 99% of Peach State voters had no issues in the midterms.",Joseph Wulfsohn,2023-02-09 15:00:52+00:00,https://www.foxnews.com/media/ga-governor-blasts-media-coverage-states-election-law-after-poll-says-99-midterm-voters-no-issues,0.0,0.0,1.0,0.0,0.0
Newsweek,Ruben Gallego Looks to Maintain Early Momentum to Defeat Kyrsten Sinema,"""The way Gallego holds the momentum so he stands a chance,"" a Democratic campaign strategist said. ""It really is about all the allies across the state.""",Adrian Carrasquillo,2023-02-08 14:46:37+00:00,https://www.newsweek.com/ruben-gallego-looks-maintain-early-momentum-defeat-kyrsten-sinema-1779621,-1.0,0.273,0.727,0.0,-0.4588
