source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
ABC News,Nikki Haley to formally launch GOP campaign for White House,"Republican Nikki Haley is expected to formally kick off her 2024 presidential campaign on Wednesday by highlighting her biography while trying to sidestep the looming presence of her onetime boss, former President Donald Trump",MEG KINNARD and MICHELLE L. PRICE Associated Press,2023-02-15 05:19:56+00:00,https://abcnews.go.com/Politics/wireStory/nikki-haley-formally-launch-gop-campaign-white-house-97210818,0.0,0.0,1.0,0.0,0.0
ABC News,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 12:58:40+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168050,1.0,0.0,0.758,0.242,0.1531
ABC News,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 12:38:03+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168239,1.0,0.0,0.758,0.242,0.1531
ABC News,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 13:00:40+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168238,1.0,0.0,0.758,0.242,0.1531
ABC News,Biden's Trump-focused campaign could be risky if GOP shifts,"In 2020, Joe Biden built his White House run around promises to beat Donald Trump “like a drum.”",WILL WEISSERT Associated Press,2023-02-17 11:03:19+00:00,https://abcnews.go.com/Politics/wireStory/bidens-trump-focused-campaign-risky-gop-shifts-97281618,-1.0,0.231,0.769,0.0,-0.2023
ABC News,"Nikki Haley announces run for president, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday",MEG KINNARD Associated Press,2023-02-14 16:55:56+00:00,https://abcnews.go.com/Politics/wireStory/haley-announces-presidential-campaign-challenging-trump-97168240,1.0,0.0,0.789,0.211,0.1531
ABC News,Biden's Trump-focused campaign could be risky if GOP shifts,"In 2020, Joe Biden built his White House run around promises to beat Donald Trump “like a drum.”",WILL WEISSERT Associated Press,2023-02-17 11:04:08+00:00,https://abcnews.go.com/Politics/wireStory/bidens-trump-focused-campaign-risky-gop-shifts-97281620,-1.0,0.231,0.769,0.0,-0.2023
ABC News,US-Best-Sellers-Books-PW,US-Best-Sellers-Books-PW for week ending 2/11/2023,The Associated Press,2023-02-16 19:21:34+00:00,https://abcnews.go.com/Entertainment/wireStory/us-best-sellers-books-pw-97262563,0.0,0.0,1.0,0.0,0.0
Al Jazeera English,Nikki Haley’s Israel advocacy defined her tenure at UN: Advocates,"The former US envoy to the UN, who is seeking the White House in 2024, has a history of lauding and defending Israel.",Ali Harb,2023-02-15 21:31:59+00:00,https://www.aljazeera.com/news/2023/2/15/nikki-haleys-israel-advocacy-defined-her-tenure-at-un-advocates,0.0,0.0,1.0,0.0,0.0
Associated Press,Haley launches...,"CHARLESTON, S.C. (AP) — Nikki Haley,  the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday, becoming the first major challenger to former President Donald Trump  for the 2024 Republican nomination.",ap news,2023-02-14 15:00:04+00:00,https://apnews.com/article/nikki-haley-running-for-president-f28052019e8ac3846cd125b3d9614d4f,0.0,0.0,1.0,0.0,0.0
Associated Press,Haley calls for generational change in launching 2024 bid,"Republican Nikki Haley has kicked off her 2024 presidential campaign. She's highlighting her biography while trying to sidestep the looming presence of her onetime boss, former President Donald Trump. On Tuesday, the former South Carolina governor released a …",By MEG KINNARD and MICHELLE L. PRICE - Associated Press,2023-02-16 00:14:00+00:00,https://apnews.com/bb059ae113e39152f5007864b4d139ae,0.0,0.0,1.0,0.0,0.0
Associated Press,"Haley announces presidential campaign, challenging Trump","Nikki Haley, the former South Carolina governor and United Nations ambassador, announced her candidacy for president on Tuesday. She becomes the first major challenger to former President Donald Trump for the 2024 Republican nomination. The announcement, deli…",By MEG KINNARD - Associated Press,2023-02-14 12:35:00+00:00,https://apnews.com/f28052019e8ac3846cd125b3d9614d4f,1.0,0.0,0.758,0.242,0.1531
Bloomberg,"DeSantis 2024 Bid Takes Shape as He Enlists Aides, Woos Donors","Ron DeSantis’s 2024 campaign team is quickly taking shape with the Florida governor lining up trusted aides to helm an expected presidential bid, according to people familiar with his plans.","Nancy Cook, Michael Smith",2023-02-17 17:15:20+00:00,https://www.bloomberg.com/news/articles/2023-02-17/desantis-2024-bid-takes-shape-as-he-enlists-aides-woos-donors,0.0,0.0,1.0,0.0,0.0
Bloomberg,Nikki Haley’s White House Bid Opens the Field to More Trump Challengers in 2024,Nikki Haley thawed a Republican presidential field that had been frozen for months by her former boss Donald Trump’s comeback bid.,Mark Niquette,2023-02-14 19:05:00+00:00,https://www.bloomberg.com/news/articles/2023-02-14/nikki-haley-s-long-shot-bid-opens-up-a-2024-race-frozen-by-trump,1.0,0.0,0.856,0.144,0.1725
Breitbart News,"2024 GOP Presidential Field About to Get Crowded as Tim Scott, Vivek Ramaswamy Mull Campaign Launches",Sen. Tim Scott (R-SC) and entrepreneur Vivek Ramaswamy are both reportedly considering presidential campaign launches as the 2024 Republican primary field begins to take shape.,"Nick Gilbertson, Nick Gilbertson",2023-02-13 18:03:56+00:00,https://www.breitbart.com/politics/2023/02/13/republicans-tim-scott-vivek-ramaswamy-mull-2024-presidential-runs/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Arizona's Kari Lake Endorses Donald Trump for President,"Arizona Republican Kari Lake endorsed former President Donald J. Trump for president while speaking in Iowa on Friday.  Lake, who was the Republican nominee in Arizona’s gubernatorial race last year, made her announcement during a meet-and-greet event hosted …","Nick Gilbertson, Nick Gilbertson",2023-02-11 00:10:55+00:00,https://www.breitbart.com/politics/2023/02/10/arizonas-kari-lake-endorses-donald-trump-for-president/,1.0,0.0,0.714,0.286,0.34
Breitbart News,Nikki Haley Supports Aiding Ukraine but Not Writing 'Blank Checks': It's 'a War About Freedom',"Republican presidential candidate Nikki Haley believes the United States should continue to aid Ukraine in its war with Russia but not write ""blank checks,"" asserting it is “a war about freedom.”","Nick Gilbertson, Nick Gilbertson",2023-02-17 17:34:15+00:00,https://www.breitbart.com/politics/2023/02/17/nikki-haley-supports-aiding-ukraine-not-sending-blank-checks/,1.0,0.189,0.485,0.325,0.4215
Breitbart News,Mexico’s Top Diplomats Fight Over Who Flinched to Trump’s Immigration Policies,Mexico’s top diplomats are openly fighting and calling each other liars over who flinched before their U.S. counterparts during the Trump era. The issue centers around “secret” meetings that led to the Remain in Mexico policy which effectively forced the coun…,"Ildefonso Ortiz and Brandon Darby, Ildefonso Ortiz and Brandon Darby",2023-02-15 20:10:33+00:00,https://www.breitbart.com/border/2023/02/15/mexicos-top-diplomats-fight-over-who-flinched-to-trumps-immigration-policies/,-1.0,0.21,0.645,0.145,-0.2023
Breitbart News,Polls: Donald Trump Leads Potential Primary Opponents by Double-Digits,Former President Donald J. Trump leads the rest of the potential 2024 Republican Party primary field by double-digits in a pair of polls published Tuesday.,"Nick Gilbertson, Nick Gilbertson",2023-02-14 18:13:53+00:00,https://www.breitbart.com/politics/2023/02/14/polls-donald-trump-leads-potential-primary-opponents-double-digits/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Poll: Donald Trump Holds Lead over Crowded GOP Primary Field,"Former President Donald Trump leads a potentially crowded Republican primary field by six points, according to a national poll.","Nick Gilbertson, Nick Gilbertson",2023-02-16 22:30:25+00:00,https://www.breitbart.com/politics/2023/02/16/poll-donald-trump-holds-lead-over-crowded-gop-primary-field/,0.0,0.0,1.0,0.0,0.0
Breitbart News,Exclusive: Rep. Harriet Hageman Endorses Donald Trump for President in 2024,"Rep. Harriet Hageman (R-WY) is endorsing former President Donald Trump in his bid to return to the White House in 2024, Breitbart News has learned exclusively.","Matthew Boyle, Matthew Boyle",2023-02-15 08:00:26+00:00,https://www.breitbart.com/politics/2023/02/15/rep-harriet-hageman-endorses-donald-trump-president-2024/,1.0,0.0,0.642,0.358,0.4404
