source,title,description,author,publishedAt,url,sentimentScore,neg,neu,pos,compound
Breitbart News,"Rubio Reintroduces Bipartisan TikTok Ban, Says ‘Momentum Is Growing’ to Pass Bill","Sen. Marco Rubio (R-FL) reintroduced a bill with Sen. Angus King (I-ME) on Friday to ban TikTok unless the app is fully divested of Chinese ownership, announcing that “momentum is growing” to pass the legislation.","Ashley Oliver, Ashley Oliver",2023-02-11 02:45:09+00:00,https://www.breitbart.com/politics/2023/02/10/rubio-reintroduces-bipartisan-tiktok-ban-momentum-growing-pass-bill/,-1.0,0.252,0.629,0.119,-0.4404
Breitbart News,Marianne Williamson May Launch Primary Challenge to Joe Biden This Weekend in New Hampshire,"Marianne Williamson, a former 2020 Democrat presidential candidate, is set to travel to New Hampshire this weekend, where she is expected to a primary challenge against President Joe Biden’s expected 2024 reelection campaign, according to Politico.","Jordan Dixon-Hamilton, Jordan Dixon-Hamilton",2023-02-18 00:38:33+00:00,https://www.breitbart.com/2024-election/2023/02/17/marianne-williamson-may-launch-primary-challenge-joe-biden-weekend-new-hampshire/,1.0,0.0,0.894,0.106,0.0772
CBS News,Stocks jump ahead of January Consumer Price Index report,"The stock market saw a sharp rise Monday ahead of the release of the January Consumer Price Index report, and as the last round of large companies prepare to release their 2022 fourth-quarter earnings. Landsberg Bennet Private Wealth Management chief investme…",CBS News,2023-02-13 22:23:50+00:00,https://www.cbsnews.com/video/stocks-jump-ahead-of-january-cpi-report/,0.0,0.0,1.0,0.0,0.0
CNN,Pressure mounts for Biden to break silence on multiple objects shot down from the sky,Three airborne objects in North American airspace were shot from the sky by the US military In the span of three days this past weekend at the direction of President Joe Biden. But as Americans confronted an extraordinary series of headlines about those missi…,"MJ Lee, Kevin Liptak",2023-02-13 10:00:42+00:00,https://www.cnn.com/2023/02/13/politics/joe-biden-objects-shot-from-sky/index.html,-1.0,0.216,0.784,0.0,-0.296
NBC News,Momentum builds in Congress to crack down on TikTok,Bipartisan momentum is growing in Congress to crack down on TikTok with some favoring a national ban and others probing how the Chinese-owned app affects teens.,Scott Wong and Kate Santaliz and Liz Brown-Kaiser,2023-02-18 12:00:00+00:00,https://www.nbcnews.com/politics/congress/congress-tiktok-ban-social-media-harms-teens-rcna70998,0.0,0.0,1.0,0.0,0.0
Reuters,How China's balloon sent the U.S. on a hunt for flying objects,"After the U.S. government announced last week that a <a href=""/world/us/us-sites-interest-visited-by-past-chinese-balloons-pentagon-says-2023-02-08/"">fleet of Chinese spy balloons</a> had visited the United States undetected in recent years, the military had …",,2023-02-13 10:04:53+00:00,https://www.reuters.com/world/us/how-chinas-balloon-sent-us-hunt-flying-objects-2023-02-13/,0.0,0.0,1.0,0.0,0.0
The Washington Post,TikTok’s CEO among least trusted executives in D.C. He’s fighting back.,"After months of virtual silence, TikTok’s chief executive, Shou Zi Chew, is preparing for the fight of his professional life, meeting with members of Congress and state governors as part of an aggressive push to prove the wildly popular Chinese-owned app is n…",Drew Harwell,2023-02-15 21:48:50+00:00,https://www.washingtonpost.com/technology/2023/02/15/ceo-tiktok-exclusive-interview/,-1.0,0.387,0.613,0.0,-0.6192
The Washington Post,Biden IRS nominee Daniel Werfel says agency won’t increase audits of middle-income taxpayers,"Daniel Werfel, if confirmed, will decide how to spend the IRS’s $80 billion infusion of funding, much of which is slated for tax enforcement.",Jacob Bogage,2023-02-15 22:30:32+00:00,https://www.washingtonpost.com/business/2023/02/15/biden-irs-werfel/,-1.0,0.151,0.849,0.0,-0.2411
