canidate,totalMentions,positive,negative,neutral,compound
Joe Biden,973,25.39,37.51,37.10,-0.07
Michelle Obama,20,0.00,30.00,70.00,-0.08
Kamala Harris,126,38.89,32.54,28.57,-0.01
Pete Buttigieg,111,10.81,51.35,37.84,-0.24
Gretchen Whitmer,46,17.39,34.78,47.83,-0.15
Gavin Newsom,37,10.81,32.43,56.76,-0.19
Alexandria Ocasio Cortez,28,50.00,32.14,17.86,0.06
Roy Cooper,2,0.00,50.00,50.00,-0.21
Elizabeth Warren,27,40.74,22.22,37.04,0.06
Bernie Sanders,48,33.33,18.75,47.92,0.02
Amy Klobuchar,8,25.00,62.50,12.50,-0.09
Stacey Abrams,2,0.00,50.00,50.00,-0.20
Eric Adams,37,18.92,54.05,27.03,-0.21
Michael Bennet,8,12.50,50.00,37.50,-0.19
Andy Beshear,10,0.00,30.00,70.00,-0.09
