canidate,totalMentions,positive,negative,neutral,compound
Donald Trump,763,26.87,36.44,36.70,-0.05
Ron DeSantis,236,33.05,35.17,31.78,-0.02
Ted Cruz,64,26.56,42.19,31.25,-0.12
Glenn Youngkin,43,23.26,30.23,46.51,-0.11
Mike Pompeo,50,26.00,26.00,48.00,-0.06
Nikki Haley,77,29.87,18.18,51.95,0.03
Mike Pence,144,31.94,16.67,51.39,0.06
Greg Abbott,40,22.50,52.50,25.00,-0.19
Tucker Carlson,69,30.43,47.83,21.74,-0.11
Liz Cheney,13,38.46,38.46,23.08,-0.10
Chris Christie,14,35.71,35.71,28.57,-0.09
Tom Cotton,32,18.75,50.00,31.25,-0.14
Doug Ducey,4,100.00,0.00,0.00,0.31
