canidate,totalMentions,positive,negative,neutral,compound
Joe Biden,1011,25.32,37.69,36.99,-0.08
Michelle Obama,13,0.00,15.38,84.62,-0.05
Kamala Harris,165,32.12,37.58,30.30,-0.06
Pete Buttigieg,129,16.28,49.61,34.11,-0.21
Gretchen Whitmer,39,15.38,35.90,48.72,-0.16
Gavin Newsom,36,11.11,25.00,63.89,-0.15
Alexandria Ocasio Cortez,31,45.16,32.26,22.58,0.04
Roy Cooper,3,33.33,0.00,66.67,0.07
Elizabeth Warren,26,42.31,15.38,42.31,0.10
Bernie Sanders,59,30.51,22.03,47.46,0.01
Amy Klobuchar,10,30.00,60.00,10.00,-0.04
Stacey Abrams,2,0.00,50.00,50.00,-0.20
Eric Adams,40,22.50,52.50,25.00,-0.18
Michael Bennet,7,14.29,42.86,42.86,-0.15
Andy Beshear,5,0.00,40.00,60.00,-0.11
